week_start,canonical_name,media_type,spend_context,spend
2025-06-23,Andrew M. Cuomo,print,support,100000.0
2025-06-23,Jim Walden,television,candidate,525150.0
2025-06-23,Zohran Kwame Mamdani,digital_video,oppose,1000.0
2025-06-30,Curtis A. Sliwa,print,candidate,5317.92
2025-07-07,Curtis A. Sliwa,digital,candidate,201.5
2025-07-07,Curtis A. Sliwa,print,candidate,3100.0
2025-07-07,Joseph Hernandez,digital,candidate,4245.32
2025-07-07,Zohran Kwame Mamdani,digital_display,support,3040.3199999999997
2025-07-14,Andrew M. Cuomo,digital_display,oppose,198.93
2025-07-14,Curtis A. Sliwa,digital,candidate,3276.04
2025-07-14,Jim Walden,radio,candidate,35250.0
2025-07-14,Zohran Kwame Mamdani,digital_display,support,7108.95
2025-07-21,Andrew M. Cuomo,digital_display,oppose,66.99
2025-07-21,Curtis A. Sliwa,print,candidate,1000.0
2025-07-21,Zohran Kwame Mamdani,digital_display,support,5755.389999999999
2025-07-28,Andrew M. Cuomo,digital,candidate,161.85
2025-07-28,Curtis A. Sliwa,print,candidate,1700.0
2025-07-28,Zohran Kwame Mamdani,billboard,support,5000.0
2025-07-28,Zohran Kwame Mamdani,digital_display,support,16770.9
2025-08-04,Andrew M. Cuomo,digital,candidate,35000.0
2025-08-04,Zohran Kwame Mamdani,billboard,support,5000.0
2025-08-04,Zohran Kwame Mamdani,digital_display,support,8473.140000000001
2025-08-11,Andrew M. Cuomo,print,candidate,1388.16
2025-08-11,Curtis A. Sliwa,print,candidate,11250.0
2025-08-11,Eric L. Adams,digital_video,support,20000.0
2025-08-11,Eric L. Adams,print,support,15325.0
2025-08-11,Zohran Kwame Mamdani,digital_display,support,1581.69
2025-08-18,Andrew M. Cuomo,digital,candidate,82000.0
2025-08-18,Curtis A. Sliwa,print,candidate,6359.0
2025-08-18,Eric L. Adams,digital_video,support,105000.0
2025-08-18,Joseph Hernandez,digital,candidate,245.59
2025-08-18,Zohran Kwame Mamdani,digital_display,support,18523.0
2025-08-25,Andrew M. Cuomo,digital,candidate,35161.85
2025-08-25,Curtis A. Sliwa,print,candidate,8992.46
2025-08-25,Eric L. Adams,billboard,support,15000.0
2025-08-25,Eric L. Adams,digital_display,support,2000.0
2025-08-25,Eric L. Adams,digital_video,support,15000.0
2025-08-25,Eric L. Adams,print,support,14000.0
2025-08-25,Zohran Kwame Mamdani,billboard,support,5000.0
2025-09-01,Curtis A. Sliwa,print,candidate,7050.0
2025-09-01,Joseph Hernandez,digital,candidate,418.0
2025-09-01,Zohran Kwame Mamdani,billboard,support,5000.0
2025-09-01,Zohran Kwame Mamdani,digital_display,oppose,6500.0
2025-09-01,Zohran Kwame Mamdani,digital_display,support,10139.38
2025-09-01,Zohran Kwame Mamdani,digital_video,oppose,500.0
2025-09-01,Zohran Kwame Mamdani,television,candidate,250000.0
2025-09-08,Curtis A. Sliwa,television,candidate,250000.0
2025-09-08,Eric L. Adams,digital_video,support,4156.25
2025-09-08,Zohran Kwame Mamdani,billboard,support,5000.0
2025-09-08,Zohran Kwame Mamdani,digital_display,support,18172.38
2025-09-08,Zohran Kwame Mamdani,digital_video,oppose,18716.0
2025-09-15,Curtis A. Sliwa,print,candidate,6350.0
2025-09-15,Curtis A. Sliwa,television,candidate,500000.0
2025-09-15,Joseph Hernandez,digital,candidate,408.31
2025-09-15,Zohran Kwame Mamdani,billboard,support,5000.0
2025-09-15,Zohran Kwame Mamdani,digital_display,oppose,260000.0
2025-09-15,Zohran Kwame Mamdani,digital_display,support,37789.81
2025-09-22,Andrew M. Cuomo,digital_display,support,35537.04
2025-09-22,Curtis A. Sliwa,digital,candidate,9573.97
2025-09-22,Curtis A. Sliwa,print,candidate,2350.0
2025-09-22,Joseph Hernandez,print,candidate,1625.0
2025-09-22,Zohran Kwame Mamdani,billboard,support,5000.0
2025-09-22,Zohran Kwame Mamdani,digital_display,support,7243.77
2025-09-22,Zohran Kwame Mamdani,digital_video,oppose,54033.0
2025-09-29,Andrew M. Cuomo,digital,candidate,161.85
2025-09-29,Andrew M. Cuomo,digital_display,support,18987.39
2025-09-29,Andrew M. Cuomo,television,candidate,707956.72
2025-09-29,Curtis A. Sliwa,digital,candidate,18060.18
2025-09-29,Curtis A. Sliwa,print,candidate,17500.0
2025-09-29,Curtis A. Sliwa,television,candidate,600000.0
2025-09-29,Zohran Kwame Mamdani,billboard,support,1429.0
2025-09-29,Zohran Kwame Mamdani,digital_display,support,73192.32
2025-09-29,Zohran Kwame Mamdani,digital_video,oppose,700.0
2025-09-29,Zohran Kwame Mamdani,television,candidate,350000.0
2025-10-06,Andrew M. Cuomo,digital,candidate,8103.94
2025-10-06,Andrew M. Cuomo,digital_display,support,158955.4
2025-10-06,Andrew M. Cuomo,print,candidate,234748.06
2025-10-06,Andrew M. Cuomo,radio,candidate,4955.5
2025-10-06,Andrew M. Cuomo,television,candidate,1697297.31
2025-10-06,Curtis A. Sliwa,digital,candidate,30600.0
2025-10-06,Curtis A. Sliwa,print,candidate,11018.18
2025-10-06,Curtis A. Sliwa,television,candidate,37500.0
2025-10-06,Curtis A. Sliwa,television,support,262825.0
2025-10-06,Eric L. Adams,digital,candidate,94929.0
2025-10-06,Zohran Kwame Mamdani,digital_display,oppose,250000.0
2025-10-06,Zohran Kwame Mamdani,digital_display,support,52925.99
2025-10-06,Zohran Kwame Mamdani,digital_video,oppose,42000.0
2025-10-06,Zohran Kwame Mamdani,digital_video,support,114102.3
2025-10-06,Zohran Kwame Mamdani,television,candidate,575000.0
2025-10-06,Zohran Kwame Mamdani,television,oppose,10500.0
2025-10-13,Andrew M. Cuomo,digital,candidate,2880.0
2025-10-13,Andrew M. Cuomo,digital_display,support,269268.56
2025-10-13,Andrew M. Cuomo,digital_video,support,25000.0
2025-10-13,Andrew M. Cuomo,print,candidate,75000.0
2025-10-13,Andrew M. Cuomo,radio,candidate,3000.0
2025-10-13,Andrew M. Cuomo,television,candidate,864685.66
2025-10-13,Curtis A. Sliwa,digital,candidate,47807.54
2025-10-13,Curtis A. Sliwa,digital_display,oppose,25000.0
2025-10-13,Curtis A. Sliwa,print,candidate,14925.0
2025-10-13,Curtis A. Sliwa,radio,candidate,16350.0
2025-10-13,Curtis A. Sliwa,television,candidate,750000.0
2025-10-13,Curtis A. Sliwa,television,support,250450.0
2025-10-13,Joseph Hernandez,print,candidate,2500.0
2025-10-13,Zohran Kwame Mamdani,digital_display,oppose,125000.0
2025-10-13,Zohran Kwame Mamdani,digital_display,support,111238.46
2025-10-13,Zohran Kwame Mamdani,digital_video,oppose,35214.32
2025-10-13,Zohran Kwame Mamdani,digital_video,support,275178.55
2025-10-13,Zohran Kwame Mamdani,print,candidate,3100.0
2025-10-13,Zohran Kwame Mamdani,television,candidate,752160.0
2025-10-13,Zohran Kwame Mamdani,television,oppose,2174178.64
2025-10-20,Andrew M. Cuomo,audio,support,166666.66
2025-10-20,Andrew M. Cuomo,digital_display,support,500000.0
2025-10-20,Andrew M. Cuomo,digital_video,support,683333.3200000001
2025-10-20,Andrew M. Cuomo,print,candidate,35150.0
2025-10-20,Andrew M. Cuomo,radio,candidate,9982.0
2025-10-20,Curtis A. Sliwa,audio,oppose,166666.67
2025-10-20,Curtis A. Sliwa,digital,candidate,43400.0
2025-10-20,Curtis A. Sliwa,digital_display,oppose,300000.0
2025-10-20,Curtis A. Sliwa,digital_video,oppose,583333.3400000001
2025-10-20,Curtis A. Sliwa,print,candidate,14015.45
2025-10-20,Curtis A. Sliwa,radio,candidate,6000.0
2025-10-20,Curtis A. Sliwa,television,candidate,450000.0
2025-10-20,Curtis A. Sliwa,television,support,276058.0
2025-10-20,Zohran Kwame Mamdani,audio,oppose,166666.67
2025-10-20,Zohran Kwame Mamdani,digital,candidate,1800.0
2025-10-20,Zohran Kwame Mamdani,digital_display,oppose,903500.0
2025-10-20,Zohran Kwame Mamdani,digital_display,support,43393.94
2025-10-20,Zohran Kwame Mamdani,digital_video,oppose,1339000.0
2025-10-20,Zohran Kwame Mamdani,digital_video,support,366647.43
2025-10-20,Zohran Kwame Mamdani,print,candidate,51422.0
2025-10-20,Zohran Kwame Mamdani,radio,candidate,3651.5
2025-10-20,Zohran Kwame Mamdani,television,candidate,1009100.0
2025-10-20,Zohran Kwame Mamdani,television,oppose,849660.06
2025-10-20,Zohran Kwame Mamdani,television,support,1206400.0
2025-10-27,Andrew M. Cuomo,audio,support,47910.0
2025-10-27,Andrew M. Cuomo,billboard,support,172500.0
2025-10-27,Andrew M. Cuomo,digital,candidate,11961.85
2025-10-27,Andrew M. Cuomo,digital_display,support,87830.0
2025-10-27,Andrew M. Cuomo,digital_video,support,303176.82
2025-10-27,Andrew M. Cuomo,print,candidate,418923.0
2025-10-27,Andrew M. Cuomo,print,support,66983.34
2025-10-27,Andrew M. Cuomo,radio,candidate,28520.0
2025-10-27,Andrew M. Cuomo,television,candidate,975772.52
2025-10-27,Andrew M. Cuomo,television,oppose,606600.0
2025-10-27,Andrew M. Cuomo,television,support,2377789.3899999997
2025-10-27,Curtis A. Sliwa,digital,candidate,42709.39
2025-10-27,Curtis A. Sliwa,print,candidate,9855.0
2025-10-27,Curtis A. Sliwa,print,oppose,15158.33
2025-10-27,Curtis A. Sliwa,television,candidate,200000.0
2025-10-27,Curtis A. Sliwa,television,oppose,250000.0
2025-10-27,Zohran Kwame Mamdani,billboard,oppose,10000.0
2025-10-27,Zohran Kwame Mamdani,digital,candidate,500.0
2025-10-27,Zohran Kwame Mamdani,digital_display,oppose,103330.0
2025-10-27,Zohran Kwame Mamdani,digital_display,support,3018.06
2025-10-27,Zohran Kwame Mamdani,digital_video,oppose,175021.33000000002
2025-10-27,Zohran Kwame Mamdani,digital_video,support,292712.41000000003
2025-10-27,Zohran Kwame Mamdani,print,candidate,11405.0
2025-10-27,Zohran Kwame Mamdani,print,oppose,15158.33
2025-10-27,Zohran Kwame Mamdani,print,support,5000.0
2025-10-27,Zohran Kwame Mamdani,television,candidate,1055000.0
2025-10-27,Zohran Kwame Mamdani,television,oppose,3200596.46
2025-10-27,Zohran Kwame Mamdani,television,support,98216.82
2025-11-03,Andrew M. Cuomo,billboard,support,60000.0
2025-11-03,Andrew M. Cuomo,digital_video,support,306660.0
2025-11-03,Curtis A. Sliwa,digital,candidate,900.0
2025-11-03,Curtis A. Sliwa,television,candidate,100000.0
2025-11-03,Zohran Kwame Mamdani,digital_display,support,35627.51
2025-11-03,Zohran Kwame Mamdani,digital_video,oppose,6660.0
2025-11-03,Zohran Kwame Mamdani,print,support,19700.0
